Bank,level,page_num,block_num,par_num,line_num,left,top,width,height,CEng,Ctha,CNum,CSym,label
Kbank,4,1,1,1,2,81,128,836,33,1,2,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,2,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,2,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,2,9,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,3,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,3,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,3,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,3,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,4,6,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,4,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,4,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,4,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,4,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,6,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,1,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,1,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,1,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,1,9,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,1,9,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,2,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,2,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,2,2,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,3,1,7,3,Timing
Kbank,4,1,1,1,2,81,128,836,33,3,1,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,3,1,8,3,Timing
Kbank,4,1,1,1,2,81,128,836,33,3,1,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,4,0,8,4,Timing
Kbank,4,1,1,1,2,81,129,829,32,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,356,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,130,356,31,1,2,7,4,Timing
Kbank,4,1,1,1,2,81,130,357,31,0,3,7,5,Timing
Kbank,4,1,1,1,2,81,130,358,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,130,358,31,0,3,7,5,Timing
Kbank,4,1,1,1,2,81,130,358,31,1,2,7,4,Timing
Kbank,4,1,1,1,2,81,130,358,31,2,3,7,4,Timing
Kbank,4,1,1,1,2,81,130,361,31,0,3,7,3,Timing
Kbank,4,1,1,1,2,81,130,361,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,130,363,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,130,363,31,1,2,7,4,Timing
Kbank,4,1,1,1,2,81,130,367,31,0,4,7,4,Timing
Kbank,4,1,1,1,2,81,130,367,31,0,5,7,4,Timing
Kbank,4,1,1,1,2,81,130,367,31,1,4,7,4,Timing
Kbank,4,1,1,1,2,81,130,383,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,384,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,384,31,2,1,8,4,Timing
Kbank,4,1,1,1,2,81,130,386,31,2,1,8,4,Timing
Kbank,4,1,1,1,2,81,130,387,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,387,31,1,2,8,4,Timing
Kbank,4,1,1,1,2,81,130,388,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,389,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,130,389,31,1,2,8,4,Timing
Kbank,4,1,1,1,2,81,130,393,31,0,4,8,4,Timing
Kbank,4,1,1,1,2,82,90,822,71,1,1,9,5,Timing
Kbank,4,1,1,1,2,82,90,822,71,2,1,8,5,Timing
Kbank,4,1,1,1,2,82,90,852,71,0,5,7,4,Timing
Kbank,4,1,1,1,2,82,124,357,37,0,3,7,5,Timing
Kbank,4,1,1,1,2,82,128,835,33,0,3,7,6,Timing
Kbank,4,1,1,1,2,82,128,835,33,0,5,7,5,Timing
Kbank,4,1,1,1,2,82,128,835,33,1,1,7,5,Timing
Kbank,4,1,1,1,2,82,128,835,33,1,1,9,4,Timing
Kbank,4,1,1,1,2,82,128,835,33,1,2,7,5,Timing
Kbank,4,1,1,1,2,82,128,835,33,2,1,7,5,Timing
Kbank,4,1,1,1,2,82,130,357,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,82,130,366,31,0,5,7,4,Timing
Kbank,4,1,1,1,2,83,90,821,71,0,2,10,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,0,4,8,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,0,4,8,6,Timing
Kbank,4,1,1,1,2,83,90,821,71,0,5,8,6,Timing
Kbank,4,1,1,1,2,83,90,821,71,1,2,10,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,1,3,8,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,2,1,9,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,2,1,10,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,2,2,8,5,Timing
Kbank,4,1,1,1,2,83,90,821,71,2,3,8,4,Timing
Kbank,4,1,1,1,2,83,90,821,71,3,1,8,5,Timing
Kbank,4,1,1,1,2,83,124,382,37,0,3,8,5,Timing
Kbank,4,1,1,1,2,83,124,382,37,1,2,8,5,Timing
Kbank,4,1,1,1,2,83,124,382,37,2,1,8,4,Timing
Kbank,4,1,1,1,2,83,124,382,37,3,0,8,4,Timing
Kbank,4,1,1,1,2,83,128,380,33,0,3,8,4,Timing
Kbank,4,1,1,1,2,83,128,380,33,0,3,8,5,Timing
Kbank,4,1,1,1,2,83,128,380,33,0,4,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,1,9,3,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,1,10,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,3,8,6,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,4,7,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,4,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,4,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,4,8,6,Timing
Kbank,4,1,1,1,2,83,128,834,33,0,5,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,1,9,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,1,9,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,1,10,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,2,7,6,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,3,7,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,3,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,1,3,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,0,9,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,1,7,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,1,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,1,9,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,2,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,2,2,8,5,Timing
Kbank,4,1,1,1,2,83,128,834,33,3,0,7,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,3,0,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,3,1,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,4,0,8,4,Timing
Kbank,4,1,1,1,2,83,128,834,33,4,0,9,4,Timing
Kbank,4,1,1,1,2,83,130,356,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,83,130,361,31,0,3,7,4,Timing
Kbank,4,1,1,1,2,83,130,365,31,0,4,7,4,Timing
Kbank,4,1,1,1,2,83,130,365,31,1,3,7,4,Timing
Kbank,4,1,1,1,2,83,130,380,31,1,2,8,4,Timing
Kbank,4,1,1,1,2,83,130,381,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,83,130,382,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,83,130,385,31,0,3,8,5,Timing
Kbank,4,1,1,1,2,83,130,385,31,2,1,8,4,Timing
Kbank,4,1,1,1,2,83,130,387,31,0,3,8,4,Timing
Kbank,4,1,1,1,2,83,130,387,31,1,2,8,4,Timing
Kbank,4,1,1,1,2,83,130,391,31,0,4,8,4,Timing
Kbank,4,1,1,1,2,83,130,391,31,0,5,8,4,Timing
Kbank,4,1,1,1,2,86,124,359,37,0,3,7,5,Timing
Kbank,4,1,1,1,2,86,124,359,37,1,2,7,5,Timing
Kbank,4,1,1,1,2,120,73,784,73,0,2,0,1,NotUse
Kbank,4,1,1,1,2,120,73,814,73,2,0,0,1,NotUse
Kbank,4,1,1,1,2,145,73,789,73,2,0,0,1,NotUse
Kbank,4,1,1,1,2,146,73,771,73,2,1,0,1,NotUse
Kbank,4,1,1,1,2,805,73,99,73,2,0,0,1,NotUse
Kbank,4,1,1,1,2,805,73,112,73,2,0,0,0,NotUse
Kbank,4,1,1,1,2,805,73,112,73,2,0,0,1,NotUse
Kbank,4,1,1,1,2,805,73,129,73,0,2,0,2,NotUse
Kbank,4,1,1,1,2,805,73,129,73,2,0,0,0,NotUse
Kbank,4,1,1,1,2,805,73,129,73,2,0,0,1,NotUse
Kbank,4,1,1,1,2,831,90,86,56,0,1,0,0,NotUse
Kbank,4,1,1,1,2,831,90,86,56,0,2,0,1,NotUse
Kbank,4,1,1,1,2,890,100,44,27,3,0,0,0,NotUse
Kbank,4,1,1,1,3,80,90,837,71,1,3,7,4,Timing
Kbank,4,1,1,1,3,80,90,837,71,1,3,7,5,Timing
Kbank,4,1,1,1,3,80,90,837,71,1,4,7,4,Timing
Kbank,4,1,1,1,3,80,90,837,71,1,4,7,5,Timing
Kbank,4,1,1,1,3,80,90,837,71,2,2,7,5,Timing
Kbank,4,1,1,1,3,80,90,837,71,4,1,6,4,Timing
Kbank,4,1,1,1,3,80,90,837,71,4,1,6,5,Timing
Kbank,4,1,1,1,3,80,128,837,33,4,1,6,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,0,4,7,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,7,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,7,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,7,6,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,8,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,8,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,8,6,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,3,9,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,4,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,1,5,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,0,11,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,1,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,1,10,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,7,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,7,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,8,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,8,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,2,9,5,Timing
Kbank,4,1,1,1,3,81,90,836,71,2,3,9,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,3,0,10,4,Timing
Kbank,4,1,1,1,3,81,90,836,71,3,1,8,3,Timing
Kbank,4,1,1,1,3,81,90,836,71,3,1,9,3,Timing
Kbank,4,1,1,1,3,81,90,836,71,4,0,8,3,Timing
Kbank,4,1,1,1,3,81,90,836,71,4,0,9,3,Timing
Kbank,4,1,1,1,3,81,90,836,71,4,0,9,4,Timing
Kbank,4,1,1,1,3,81,126,836,35,0,3,8,4,Timing
Kbank,4,1,1,1,3,81,126,836,35,2,1,7,5,Timing
Kbank,4,1,1,1,3,81,128,356,33,1,2,7,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,1,10,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,3,7,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,3,7,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,3,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,4,7,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,4,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,4,8,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,5,7,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,0,5,8,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,1,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,1,9,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,2,7,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,2,8,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,3,7,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,3,7,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,3,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,3,8,5,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,4,7,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,1,6,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,2,0,9,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,2,2,7,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,2,2,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,2,3,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,3,1,8,4,Timing
Kbank,4,1,1,1,3,81,128,836,33,4,0,8,4,Timing
Kbank,4,1,1,1,3,81,130,358,31,0,3,7,5,Timing
Kbank,4,1,1,1,3,81,130,363,31,0,3,7,4,Timing
Kbank,4,1,1,1,3,81,130,389,31,2,1,8,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,1,3,7,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,1,3,7,5,Timing
Kbank,4,1,1,1,3,82,90,835,71,1,3,7,6,Timing
Kbank,4,1,1,1,3,82,90,835,71,1,4,7,5,Timing
Kbank,4,1,1,1,3,82,90,835,71,2,1,9,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,2,2,7,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,2,2,7,5,Timing
Kbank,4,1,1,1,3,82,90,835,71,3,0,9,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,3,1,7,4,Timing
Kbank,4,1,1,1,3,82,90,835,71,3,1,7,5,Timing
Kbank,4,1,1,1,3,82,126,835,35,0,3,8,4,Timing
Kbank,4,1,1,1,3,82,128,835,33,0,1,8,5,Timing
Kbank,4,1,1,1,3,82,128,835,33,0,4,7,6,Timing
Kbank,4,1,1,1,3,82,128,835,33,1,1,8,4,Timing
Kbank,4,1,1,1,3,82,129,828,32,0,3,7,6,Timing
Kbank,4,1,1,1,3,83,86,834,76,1,4,8,6,Timing
Kbank,4,1,1,1,3,83,86,834,76,2,2,9,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,0,5,8,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,1,11,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,2,9,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,7,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,7,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,8,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,8,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,8,6,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,9,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,3,9,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,4,8,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,1,4,9,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,7,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,7,6,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,8,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,8,6,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,9,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,2,9,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,3,7,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,3,8,5,Timing
Kbank,4,1,1,1,3,83,90,834,71,2,3,9,4,Timing
Kbank,4,1,1,1,3,83,90,834,71,3,1,9,3,Timing
Kbank,4,1,1,1,3,83,90,834,71,3,1,9,4,Timing
Kbank,4,1,1,1,3,83,126,834,35,0,1,11,4,Timing
Kbank,4,1,1,1,3,83,126,834,35,0,3,8,5,Timing
Kbank,4,1,1,1,3,83,126,834,35,1,2,8,6,Timing
Kbank,4,1,1,1,3,83,126,834,35,1,3,9,5,Timing
Kbank,4,1,1,1,3,83,126,834,35,2,1,9,4,Timing
Kbank,4,1,1,1,3,83,126,834,35,3,1,9,4,Timing
Kbank,4,1,1,1,3,83,128,380,33,0,1,10,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,0,2,10,5,Timing
Kbank,4,1,1,1,3,83,128,834,33,0,3,8,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,0,3,8,5,Timing
Kbank,4,1,1,1,3,83,128,834,33,0,4,7,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,0,4,8,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,1,1,8,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,1,1,10,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,1,3,8,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,1,3,8,5,Timing
Kbank,4,1,1,1,3,83,128,834,33,1,5,8,4,Timing
Kbank,4,1,1,1,3,83,128,834,33,2,2,8,4,Timing
Kbank,4,1,1,1,3,282,282,273,47,7,2,0,2,Name
Kbank,4,1,1,1,3,291,236,273,47,0,9,0,5,Name
Kbank,4,1,2,1,1,16,110,688,12,0,0,0,1,Name
